ID_PGTO,ID_RCBE,VL,DS_TRAN,DT_REFE
C84920,C10293,1580,PIX,2025-03-18
C58392,C60291,25000,TED,2025-04-22
C73928,C84920,850,PIX,2025-05-10
C10293,C48392,19990,BOLETO,2025-03-29
C60291,C58392,300,PIX,2025-04-06
C93829,C73928,48500,SISTEMICO,2025-05-25
C48392,C93829,580,PIX,2025-03-08
C10293,C60291,120000,TED,2025-04-15
C84920,C48392,990,BOLETO,2025-05-03
C58392,C73928,45,PIX,2025-03-24
C93829,C10293,1800,TED,2025-04-19
C73928,C58392,7530,SISTEMICO,2025-05-16
C60291,C84920,240,PIX,2025-03-02
C48392,C10293,8900,BOLETO,2025-04-28
C93829,C60291,3250,PIX,2025-05-30
C10293,C84920,21000,TED,2025-03-11
C73928,C48392,150,PIX,2025-04-01
C58392,C93829,65000,BOLETO,2025-05-21
C84920,C58392,950,SISTEMICO,2025-03-19
C48392,C73928,500,PIX,2025-04-10
