VL_FATU,VL_SLDO,DT_ABRT,DS_CNAE,DT_REFE
258398471,-1583982,1995-07-22,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",2025-01-28
12984572,8392018,2010-02-15,"Desenvolvimento de programas de computador sob encomenda",2025-03-03
89347105,12039847,2001-11-05,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",2025-02-24
298573910,-583920,1988-04-19,"Serviços de engenharia",2025-05-30
4500000,230493,2018-09-01,"Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",2025-04-26
150389201,158398,1999-01-30,"Construção de edifícios",2025-01-31
75839201,-2039481,2005-06-11,"Restaurantes e similares",2025-03-29
22048392,958302,2015-12-08,"Educação superior - graduação",2025-05-26
5003984,12093,2022-02-28,"Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências",2025-02-28
189483920,-893029,1992-08-03,"Holdings de instituições não-financeiras",2025-04-04
3984920,450392,2019-07-25,"Comércio a varejo de peças e acessórios novos para veículos automotores",2025-03-02
119384920,2839201,2008-10-14,"Desenvolvimento e licenciamento de programas de computador customizáveis",2025-05-31
1583920,105839,2023-01-10,"Serviços de organização de feiras, congressos, exposições e festas",2025-01-26
283928104,-3019283,1985-03-09,"Fabricação de estruturas metálicas",2025-04-01
63928193,583928,2012-05-21,"Agências de publicidade",2025-02-25
